1 & 1 & 0.000098 & 13\\
1 & 2 & 0.000096 & 12\\
1 & 3 & 0.000093 & 12\\
1 & 4 & 0.000090 & 11\\
1 & 5 & 0.000088 & 12\\
1 & 6 & 0.000085 & 12\\
1 & 7 & 0.000086 & 11\\
1 & 8 & 0.000085 & 12\\
2 & 1 & 0.000084 & 15\\
2 & 2 & 0.000084 & 17\\
2 & 3 & 0.000081 & 18\\
2 & 4 & 0.000078 & 17\\
2 & 5 & 0.000080 & 17\\
2 & 6 & 0.000077 & 17\\
2 & 7 & 0.000076 & 17\\
2 & 8 & 0.000076 & 17\\
3 & 1 & 0.000075 & 19\\
3 & 2 & 0.000074 & 26\\
3 & 3 & 0.000073 & 29\\
3 & 4 & 0.000074 & 28\\
3 & 5 & 0.000075 & 29\\
3 & 6 & 0.000074 & 28\\
3 & 7 & 0.000073 & 29\\
3 & 8 & 0.000074 & 29\\
4 & 1 & 0.000074 & 31\\
4 & 2 & 0.000075 & 43\\
4 & 3 & 0.000074 & 51\\
4 & 4 & 0.000075 & 56\\
4 & 5 & 0.000074 & 58\\
4 & 6 & 0.000073 & 59\\
4 & 7 & 0.000074 & 59\\
4 & 8 & 0.000075 & 60\\
5 & 1 & 0.000131 & 62\\
5 & 2 & 0.000132 & 86\\
5 & 3 & 0.000138 & 109\\
5 & 4 & 0.000145 & 126\\
5 & 5 & 0.000148 & 142\\
5 & 6 & 0.000152 & 156\\
5 & 7 & 0.000149 & 157\\
5 & 8 & 0.000152 & 157\\
6 & 1 & 0.000311 & 168\\
6 & 2 & 0.000287 & 217\\
6 & 3 & 0.000269 & 246\\
6 & 4 & 0.000262 & 289\\
6 & 5 & 0.000257 & 321\\
6 & 6 & 0.000259 & 355\\
6 & 7 & 0.000248 & 383\\
6 & 8 & 0.000234 & 396\\
7 & 1 & 0.001007 & 531\\
7 & 2 & 0.000814 & 658\\
7 & 3 & 0.000656 & 714\\
7 & 4 & 0.000625 & 819\\
7 & 5 & 0.000563 & 894\\
7 & 6 & 0.000515 & 984\\
7 & 7 & 0.000475 & 1048\\
7 & 8 & 0.000452 & 1092\\
8 & 1 & 0.004274 & 1986\\
8 & 2 & 0.002975 & 2291\\
8 & 3 & 0.002398 & 2525\\
8 & 4 & 0.002046 & 2804\\
8 & 5 & 0.001855 & 3096\\
8 & 6 & 0.001634 & 3297\\
8 & 7 & 0.001465 & 3489\\
8 & 8 & 0.001367 & 3608\\
9 & 1 & 0.024649 & 8065\\
9 & 2 & 0.012764 & 9104\\
9 & 3 & 0.009193 & 9861\\
9 & 4 & 0.007937 & 10975\\
9 & 5 & 0.006887 & 11885\\
9 & 6 & 0.006004 & 12499\\
9 & 7 & 0.005432 & 13303\\
9 & 8 & 0.005019 & 13786\\
10 & 1 & 0.100438 & 34853\\
10 & 2 & 0.059459 & 38762\\
10 & 3 & 0.043260 & 41919\\
10 & 4 & 0.036333 & 45474\\
10 & 5 & 0.031644 & 49152\\
10 & 6 & 0.027544 & 51464\\
10 & 7 & 0.024762 & 53735\\
10 & 8 & 0.022851 & 55413\\
11 & 1 & 0.478346 & 164321\\
11 & 2 & 0.291113 & 182030\\
11 & 3 & 0.204158 & 191878\\
11 & 4 & 0.173678 & 207941\\
11 & 5 & 0.151078 & 223552\\
11 & 6 & 0.132125 & 233443\\
11 & 7 & 0.119249 & 243708\\
11 & 8 & 0.109989 & 250405\\
12 & 1 & 2.754791 & 842409\\
12 & 2 & 1.595484 & 913660\\
12 & 3 & 1.141065 & 975535\\
12 & 4 & 0.955877 & 1041931\\
12 & 5 & 0.824667 & 1101564\\
12 & 6 & 0.727172 & 1157337\\
12 & 7 & 0.658361 & 1202046\\
12 & 8 & 0.611703 & 12413891\\
13 & 1 & 15.693549 & 4602944\\
13 & 2 & 8.995142 & 4971970\\
13 & 3 & 6.385116 & 5269324\\
13 & 4 & 5.340870 & 5595718\\
13 & 5 & 4.618225 & 5898360\\
13 & 6 & 4.078673 & 6173339\\
13 & 7 & 3.688601 & 6374454\\
13 & 8 & 3.429158 & 6574777\\
14 & 1 & 100.471620 & 27006112\\
14 & 2 & 56.033450 & 28827162\\
14 & 3 & 39.852565 & 30374654\\
14 & 4 & 33.613693 & 32351672\\
14 & 5 & 29.072379 & 33931816\\
14 & 6 & 25.740943 & 35487338\\
14 & 7 & 23.342292 & 36522323\\
14 & 8 & 21.740712 & 37545358\\
15 & 1 & 652.413299 & 168919148\\
15 & 2 & 359.393896 & 179303271\\
15 & 3 & 257.803043 & 189516332\\
15 & 4 & 215.340724 & 199520814\\
15 & 5 & 187.121518 & 209514463\\
15 & 6 & 165.471322 & 217867713\\
15 & 7 & 150.155104 & 223703983\\
15 & 8 & 139.937767609 & 229658340\\
